Страна;Дата;Заражений;Выздоровлений;Смертей;Заражений за день;Выздоровлений за день;Смертей за день
Россия;18/06/2021;5220168;4794436;126300;17051;10774;447
Россия;14/01/2021;3459237;2851737;63016;24303;27497;553
Россия;26/12/2021;10213265;;298165;23543;;942
Россия;14/09/2021;7072825;;190793;17529;;762
Россия;26/04/2021;4717321;4344735;106783;8681;6621;349
Россия;12/03/2021;4321588;3928114;89701;9695;13248;477
Россия;05/12/2021;9630296;;275824;32013;;1176
Россия;06/11/2021;8613533;;241095;40210;;1152
Россия;22/05/2021;4935302;4557146;116144;8585;9118;380
Россия;11/08/2021;6425918;;164413;20958;;784
Россия;10/02/2021;3968228;3477760;76873;14258;22178;526
Россия;06/09/2021;6929862;;184672;17487;;776
Россия;20/05/2021;4917906;4538909;115393;9112;9695;390
Россия;16/02/2021;4053535;3584477;79659;13030;17288;449
Россия;21/11/2021;9170898;;259107;35749;;1216
Россия;19/10/2021;7936798;;221314;32835;;991
Россия;22/03/2021;4416226;4031205;93812;9195;7745;355
Россия;11/01/2021;3389733;2771793;61389;23018;21691;426
Россия;08/07/2021;5638901;5083251;138441;24361;20926;723
Россия;25/06/2021;5346005;4872411;129869;20065;13840;591
Россия;07/10/2021;7575825;;209752;26881;;910
Россия;11/04/2021;4589209;4216960;101282;8576;7206;333
Россия;25/04/2021;4708640;4338114;106434;8652;7504;326
Россия;25/12/2021;10189722;;297223;24771;;955
Россия;15/09/2021;7091368;;191566;18543;;773
Россия;13/01/2021;3434934;2824240;62463;22544;28108;555
Россия;19/06/2021;5237847;4804943;126761;17679;10507;461
Россия;07/08/2021;6340370;;161343;21727;;769
Россия;13/04/2021;4605444;4233065;101882;8044;9475;330
Россия;05/10/2021;7524465;;207932;24465;;876
Россия;09/01/2021;3344175;2726336;60523;23012;23387;456
Россия;23/06/2021;5306069;4845313;128719;17303;12475;539
Россия;10/07/2021;5688807;5122104;139896;24607;17395;740
Россия;15/01/2021;3483531;2879082;63558;24294;27345;542
Россия;05/08/2021;6296570;;159803;22564;;771
Россия;21/06/2021;5272328;4821808;127641;17114;8332;435
Россия;23/12/2021;10140429;;295296;25446;;974
Россия;17/09/2021;7130245;;193111;19589;;771
Россия;23/04/2021;4691290;4321477;105718;8717;9291;390
Россия;09/08/2021;6384195;;162860;21554;;751
Россия;24/05/2021;4952412;4570842;116812;8283;6434;315
Россия;12/02/2021;3997898;3519689;77911;14867;20459;496
Россия;03/12/2021;9565909;;273463;32316;;1184
Россия;08/11/2021;8689818;;243405;38257;;1164
Россия;10/03/2021;4302726;3901134;88773;8976;13063;458
Россия;24/03/2021;4433364;4051703;94624;8769;9987;393
Россия;23/11/2021;9238330;;261526;32899;;1207
Россия;17/10/2021;7870529;;219342;33428;;980
Россия;18/05/2021;4900995;4519888;114619;8057;8792;356
Россия;08/09/2021;6964595;;186224;17673;;777
Россия;14/02/2021;4026506;3553326;78825;13968;15085;422
Россия;11/07/2021;5713351;5139253;140635;24544;17149;739
Россия;22/06/2021;5288766;4832838;128180;16438;11030;539
Россия;10/01/2021;3366715;2750102;60963;22540;23766;440
Россия;04/10/2021;7500000;;207056;25150;;877
Россия;14/04/2021;4613646;4242411;102275;8202;9346;393
Россия;24/04/2021;4699988;4330610;106108;8698;9133;390
Россия;24/12/2021;10164951;;296268;24522;;972
Россия;16/09/2021;7110656;;192340;19288;;774
Россия;20/06/2021;5255214;4813476;127206;17367;8533;445
Россия;06/08/2021;6318643;;160574;22073;;771
Россия;16/01/2021;3507201;2905972;64134;23670;26890;576
Россия;11/03/2021;4311893;3914866;89224;9167;13732;451
Россия;04/12/2021;9598283;;274648;32374;;1185
Россия;07/11/2021;8651561;;242241;38028;;1146
Россия;13/02/2021;4012538;3538241;78403;14640;18552;492
Россия;23/05/2021;4944129;4564408;116497;8827;7262;353
Россия;10/08/2021;6404960;;163629;20765;;769
Россия;15/02/2021;4040505;3567189;79210;13999;13863;385
Россия;09/09/2021;6982628;;186999;18033;;775
Россия;17/05/2021;4892938;4511096;114263;9204;7151;336
Россия;24/11/2021;9270885;;262733;32555;;1207
Россия;16/10/2021;7837101;;218362;32351;;980
Россия;25/03/2021;4442492;4062446;95010;9128;10743;386
Россия;31/07/2021;6185249;5539787;155952;23264;19389;772
Россия;10/06/2021;5108217;4716833;123178;11560;9962;376
Россия;22/01/2021;3637862;3048837;67376;21182;26976;566
Россия;22/09/2021;7227549;;197032;19308;;797
Россия;18/12/2021;10009866;;290340;27131;;1048
Россия;04/05/2021;4784497;4406289;109670;7653;6680;329
Россия;04/04/2021;4529576;4156141;98713;8697;8167;350
Россия;28/09/2021;7355883;;201854;21040;;839
Россия;02/07/2021;5495513;4976901;134302;22791;17950;669
Россия;17/07/2021;5860113;5258917;145222;24590;21008;776
Россия;04/01/2021;3226758;2612934;58203;23015;20997;473
Россия;31/03/2021;4494234;4118709;97219;8156;9983;402
Россия;26/10/2021;8185400;;228581;35454;;1075
Россия;14/11/2021;8918926;;250609;37620;;1194
Россия;25/02/2021;4164802;3725604;83481;11067;15666;437
Россия;11/05/2021;4840948;4458408;112063;7989;6965;323
Россия;30/08/2021;6803323;;179233;17858;;776
Россия;03/02/2021;3858367;3328696;73497;16222;24385;515
Россия;20/08/2021;6613107;;171480;20402;;764
Россия;29/05/2021;4995613;4616422;118781;9155;9146;395
Россия;28/10/2021;8260045;;230786;39070;;1114
Россия;14/12/2021;9899139;;286023;27910;;1114
Россия;05/03/2021;4252876;3841504;86821;10906;15321;453
Россия;03/05/2021;4776844;4399609;109341;8368;6349;330
Россия;23/09/2021;7248572;;197834;21023;;802
Россия;17/12/2021;9982735;;289292;27427;;1052
Россия;21/01/2021;3616680;3021861;66810;21544;26605;596
Россия;11/06/2021;5120578;4726870;123568;12361;10037;390
Россия;30/07/2021;6161985;5520398;155180;23016;19989;776
Россия;03/01/2021;3203743;2591937;57730;23845;19658;495
Россия;16/07/2021;5835523;5237909;144446;25188;21578;789
Россия;03/07/2021;5519516;4994543;134987;24003;17642;685
Россия;29/09/2021;7377774;;202700;21891;;846
Россия;03/04/2021;4520879;4147974;98363;8906;9516;377
Россия;29/08/2021;6785465;;178457;18798;;778
Россия;12/05/2021;4849044;4466782;112410;8096;8374;347
Россия;24/02/2021;4153735;3709938;83044;11609;12151;378
Россия;27/10/2021;8220975;;229672;35575;;1091
Россия;13/11/2021;8881306;;249415;38068;;1212
Россия;30/03/2021;4486078;4108726;96817;8162;9463;404
Россия;04/03/2021;4241970;3826183;86368;11263;15856;467
Россия;29/10/2021;8298850;;231931;38805;;1145
Россия;13/12/2021;9871229;;284909;29208;;1094
Россия;30/05/2021;5005171;4623764;119130;9558;7342;349
Россия;19/08/2021;6592705;;170716;20459;;768
Россия;02/02/2021;3842145;3304311;72982;16406;21680;526
Россия;01/04/2021;4503291;4128769;97594;9057;10060;375
Россия;25/10/2021;8149946;;227506;36947;;1042
Россия;15/11/2021;8956136;;251796;37210;;1187
Россия;10/05/2021;4832959;4451443;111740;8338;6731;315
Россия;31/08/2021;6820697;;180009;17374;;776
Россия;22/02/2021;4130447;3684955;82255;12455;12871;329
Россия;17/08/2021;6551934;;169169;20349;;785
Россия;01/06/2021;5022881;4639309;119830;9369;8848;366
Россия;04/02/2021;3874830;3352720;74005;16463;24024;508
Россия;31/10/2021;8377984;;234194;39931;;1131
Россия;11/12/2021;9812538;;282713;29815;;1142
Россия;02/03/2021;4220291;3794930;85458;10441;14735;433
Россия;23/01/2021;3658447;3076236;67919;20585;27399;543
Россия;28/07/2021;6116249;5480150;153620;21870;20218;784
Россия;13/06/2021;5148499;4745756;124314;14561;9080;353
Россия;25/09/2021;7291097;;199450;21583;;806
Россия;15/12/2021;9927150;;287135;28011;;1112
Россия;01/05/2021;4759902;4385973;108675;9147;8469;385
Россия;05/04/2021;4538101;4163170;99049;8525;7029;336
Россия;27/09/2021;7334843;;201015;21731;;770
Россия;01/07/2021;5472722;4958951;133633;23128;16668;660
Россия;18/07/2021;5884593;5277561;145975;24480;18644;753
Россия;23/02/2021;4142126;3697787;82666;11679;12832;411
Россия;01/09/2021;6838652;;180781;17955;;772
Россия;09/05/2021;4824621;4444712;111425;8290;7423;328
Россия;24/10/2021;8112999;;226464;34690;;1047
Россия;16/11/2021;8991748;;253009;35612;;1213
Россия;02/04/2021;4511973;4138458;97986;8682;9689;392
Россия;03/03/2021;4230707;3810327;85901;10416;15397;443
Россия;30/10/2021;8338053;;233063;39203;;1132
Россия;12/12/2021;9842021;;283815;29483;;1102
Россия;05/02/2021;3891274;3375999;74520;16444;23279;515
Россия;31/05/2021;5013512;4630461;119464;8341;6697;334
Россия;18/08/2021;6572246;;169948;20312;;779
Россия;02/05/2021;4768476;4393260;109011;8574;7287;336
Россия;24/09/2021;7269514;;198644;20942;;810
Россия;16/12/2021;9955308;;288240;28158;;1105
Россия;12/06/2021;5133938;4736676;123961;13360;9806;393
Россия;29/07/2021;6138969;5500409;154404;22720;20259;784
Россия;24/01/2021;3679247;3098505;68397;20800;22269;478
Россия;19/07/2021;5908691;5296250;146686;24098;18689;711
Россия;30/06/2021;5449594;4942283;132973;20633;16101;659
Россия;26/09/2021;7313112;;200245;22015;;795
Россия;06/04/2021;4546307;4171948;99431;8206;8778;382
Россия;27/01/2021;3733692;3168370;69971;17464;27440;580
Россия;09/06/2021;5096657;4706871;122802;10271;9680;393
Россия;24/07/2021;6025698;5405818;150583;23395;21468;787
Россия;27/04/2021;4725252;4352649;107167;7931;7914;384
Россия;19/12/2021;10037546;;291336;27680;;996
Россия;21/09/2021;7208241;;196235;18796;;797
Россия;01/10/2021;7425057;;204424;23953;;875
Россия;09/04/2021;4572053;4200282;100554;9027;9581;396
Россия;22/07/2021;5979027;5362424;149012;23938;22141;783
Россия;05/07/2021;5568104;5024368;136279;23895;14475;642
Россия;19/11/2021;9099253;;256669;35935;;1221
Россия;21/10/2021;8005376;;223331;35416;;1011
Россия;28/03/2021;4469327;4092015;96123;8979;8577;331
Россия;27/08/2021;6747681;;176904;18982;;777
Россия;06/05/2021;4799872;4421329;110366;7518;7651;344
Россия;26/02/2021;4175757;3741058;83900;10955;15454;419
Россия;05/06/2021;5058221;4674372;121365;9011;8463;391
Россия;21/08/2021;6633521;;172257;20414;;777
Россия;31/01/2021;3808348;3264611;72029;18083;19755;473
Россия;06/03/2021;4263785;3856400;87253;10909;14896;432
Россия;07/12/2021;9692411;;278131;30546;;1152
Россия;04/11/2021;8533706;;238784;39117;;1165
Россия;20/12/2021;10064290;;292331;26744;;995
Россия;20/09/2021;7189445;;195438;19376;;767
